Date/Time;Electricity:Facility [kW](Hourly);Fans:Electricity [kW](Hourly);Cooling:Electricity [kW](Hourly);Heating:Electricity [kW](Hourly);InteriorLights:Electricity [kW](Hourly);InteriorEquipment:Electricity [kW](Hourly);Gas:Facility [kW](Hourly);Heating:Gas [kW](Hourly);InteriorEquipment:Gas [kW](Hourly);Water Heater:WaterSystems:Gas [kW](Hourly)
 06/13  24:00:00;816,7064152;94,71476999;435,7393908;0;46,09303362;113,3127805;428,9032889;405,8668493;5,664669961;17,37176959
 06/14  01:00:00;820,3756747;94,71476999;439,7958813;0;46,09303362;113,3127805;425,6557493;411,2961836;5,664669961;8,694895713
 06/14  02:00:00;824,7173929;94,71476999;444,606431;0;46,09303362;113,3127805;430,8042242;416,4444974;5,664669961;8,695056829
 06/14  03:00:00;832,2426404;94,71476999;452,8850428;0;46,09303362;113,3127805;444,4808106;421,4454939;5,664669961;17,37064668
 06/14  04:00:00;918,791806;94,71476999;448,7847022;0;100,1506573;148,9693994;418,342975;403,9827079;5,664669961;8,695597093
 06/14  05:00:00;911,872568;95,15789988;443,7674718;0;100,1506573;149,8943994;560,8801435;538,022678;14,1616749;8,695790599
 06/14  06:00:00;1125,613738;97,51517783;437,4211002;0;176,4710373;302,6124365;448,4984983;402,8028824;28,3233498;17,3722661
 06/14  07:00:00;1235,850097;99,90899956;420,6890227;0;243,2593065;310,1097119;417,9049187;357,9099484;42,48502471;17,5099456
 06/14  08:00:00;1267,373538;101,3376352;408,6847366;0;243,2593065;310,1097119;416,4314517;333,4223527;56,64669961;26,36239939
 06/14  09:00:00;1294,979986;102,5505167;402,296616;0;243,2593065;302,6124365;386,3535537;317,4214995;42,48502471;26,44702952
 06/14  10:00:00;1294,557836;103,7409304;393,9824861;0;243,2593065;310,1097119;410,4642268;304,2344374;70,80837451;35,42141488
 06/14  11:00:00;1285,309996;105,0630972;383,4433852;0;243,2593065;310,1097119;399,730413;293,448553;70,80837451;35,47348551
 06/14  12:00:00;1236,398034;106,519931;375,7037298;0;243,2593065;310,1097119;373,5550615;276,2431562;70,80837451;26,50353086
 06/14  13:00:00;1275,867848;108,1863724;378,4300932;0;243,2593065;302,6124365;337,3619804;245,2341554;56,64669961;35,48112542
 06/14  14:00:00;1284,00672;110,5586863;382,939379;0;243,2593065;302,6124365;306,0473895;228,143254;42,48502471;35,41911071
 06/14  15:00:00;1296,466731;115,3572014;387,7971277;0;243,2593065;302,6124365;261,8001966;178,6158088;56,64669961;26,53768826
 06/14  16:00:00;1305,909621;119,4846851;386,3943631;0;243,2593065;310,1097119;262,3342618;150,9490584;84,97004941;26,41515403
 06/14  17:00:00;1307,765489;121,1705589;386,5731116;0;243,2593065;310,1097119;247,2559637;144,824934;84,97004941;17,46098023
 06/14  18:00:00;1004,011325;94,71476999;379,5687482;0;166,9389264;199,1109338;296,6600514;194,2755261;84,97004941;17,41447592
 06/14  19:00:00;992,9890719;94,71476999;377,6364063;0;166,9389264;191,6136585;322,9832398;257,6211013;56,64669961;8,715438813
 06/14  20:00:00;914,2597909;94,71476999;414,1953308;0;100,1506573;124,5586935;429,5871112;355,5272967;56,64669961;17,41311486
 06/14  21:00:00;893,9471313;94,71476999;433,4190867;0;100,1506573;124,5586935;420,2630291;369,0790877;42,48502471;8,698916749
 06/14  22:00:00;820,8132825;94,71476999;427,4618854;0;46,09303362;124,5586935;433,7093365;388,0144217;28,3233498;17,37156501
 06/14  23:00:00;811,4797853;94,71476999;416,3573715;0;46,09303362;124,5586935;413,7674003;390,9108766;14,1616749;8,694848778
 06/14  24:00:00;792,8703661;94,71476999;410,2115111;0;46,09303362;113,3127805;414,1385306;391,1023043;5,664669961;17,37155629
 06/15  01:00:00;790,0979637;94,71476999;408,170003;0;46,09303362;113,3127805;406,3752731;392,0152745;5,664669961;8,695328678
 06/15  02:00:00;790,9834679;94,71476999;409,0367096;0;46,09303362;113,3127805;412,6266101;398,266449;5,664669961;8,695491167
 06/15  03:00:00;798,7002384;94,71476999;416,2453224;0;46,09303362;113,3127805;431,1388041;408,1026326;5,664669961;17,37150152
 06/15  04:00:00;902,3158016;94,71476999;430,2382822;0;100,1506573;148,9693994;410,4134283;396,0527434;5,664669961;8,696014907
 06/15  05:00:00;904,8908495;95,55637771;435,4318302;0;100,1506573;149,8943994;545,4153685;522,5574921;14,1616749;8,696201458
 06/15  06:00:00;1110,677563;98,29840191;420,0797693;0;176,4710373;302,6124365;431,8407245;386,1443241;28,3233498;17,37305061
