;name;address;latitude;longitude;avg_rating;avg_price;category;review_count
141;清茶KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区包头路555号;31.31947;121.53833;30.0;0.0;KTV;1
142;金品KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区莘珠路739号;31.11198;121.39565;0.0;0.0;KTV;3
143;海山量版式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区周家嘴路3246-1号;31.276278;121.53434;30.0;0.0;KTV;2
144;Stage量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区六合路158号;31.237022;121.47472;30.0;0.0;KTV;2
145;聚香缘KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区共康路406号;31.320778;121.43804;0.0;0.0;KTV;1
146;鼎典KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区翔殷路1128号沪金融大厦;31.301012;121.51697;0.0;0.0;KTV;9
147;莱思莉KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区淞宝路512号;31.388306;121.5033;0.0;0.0;KTV;5
148;香格里拉KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区中山北路2550号;31.243143;121.42322;0.0;0.0;KTV;6
149;泉山KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区中山北一路9号;31.268728;121.47387;0.0;0.0;KTV;1
150;新天地KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区晋元路1388号;31.242586;121.47;0.0;0.0;KTV;4
151;汉城宫KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区张杨路828-838号华都大厦L4楼;31.228626;121.5234;30.0;0.0;KTV;4
152;迪森KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区包头路200号;31.311064;121.53881;30.0;0.0;KTV;7
153;豪格玛KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区漕溪路222号5楼;31.17121;121.434685;0.0;0.0;KTV;5
154;北歌量贩KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区肇嘉浜路100号;31.204136;121.4653;30.0;0.0;KTV;2
155;宝影KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区友谊支路181号3楼;31.406393;121.48826;30.0;132.0;KTV;9
156;隆隆KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区平顺路720号;31.316133;121.45273;30.0;0.0;KTV;1
157;春之韵酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区打浦路435弄3楼;31.197987;121.47265;0.0;0.0;KTV;4
158;紫园KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区芷江西路385号;31.257128;121.45845;30.0;0.0;KTV;5
159;雨蝶KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区通河路511号;31.335548;121.44599;30.0;0.0;KTV;16
160;玫瑰苑KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区永清路259号;31.387465;121.497284;30.0;0.0;KTV;2
161;青之旅日式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区文定路219号青之旅酒店1楼;31.184748;121.43187;30.0;0.0;KTV;3
162;太阳星辰KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);静安区南京西路920号南泰大厦6楼;31.230364;121.45912;30.0;0.0;KTV;9
